2025-12-29 15:03:50 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:03:50 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:03:50 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:03:50 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:03:50 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:03:53 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:04:03 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:04:03 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:04:05 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:04:05 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:04:08 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
2025-12-29 15:04:08 | INFO     | HorizonAI | 🟢 Commande de démarrage d'Ollama envoyée au système.
2025-12-29 15:04:10 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:04:10 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:04:10 | INFO     | HorizonAI | 🛑 Horizon AI Backend arrêté.
2025-12-29 15:04:11 | INFO     | HorizonAI | 🚀 Horizon AI Backend démarré.
